TweetID,Text
1,This is a tweet with #innovation and #cloud.
2,This is a tweet with #cloud and #tech.
3,This is a tweet with #cloud and #innovation.
4,This is a tweet with #data and #innovation.
5,This is a tweet with #cloud and #cloud.
6,This is a tweet with #data and #data.
7,This is a tweet with #tech and #tech.
8,This is a tweet with #innovation and #data.
9,This is a tweet with #data and #tech.
10,
11,This is a tweet with #data and #tech.
12,
13,This is a tweet with #innovation and #tech.
14,This is a tweet with #tech and #tech.
15,This is a tweet with #data and #innovation.
16,This is a tweet with #innovation and #AI.
17,This is a tweet with #AI and #cloud.
18,This is a tweet with #cloud and #cloud.
19,
20,This is a tweet with #innovation and #innovation.
21,This is a tweet with #data and #cloud.
22,This is a tweet with #tech and #AI.
23,This is a tweet with #innovation and #AI.
24,This is a tweet with #AI and #innovation.
25,This is a tweet with #tech and #data.
26,INVALID
27,This is a tweet with #AI and #cloud.
28,This is a tweet with #AI and #cloud.
29,This is a tweet with #tech and #tech.
30,This is a tweet with #innovation and #data.
31,This is a tweet with #data and #cloud.
32,This is a tweet with #tech and #tech.
33,This is a tweet with #cloud and #cloud.
34,This is a tweet with #data and #AI.
35,This is a tweet with #cloud and #innovation.
36,INVALID
37,This is a tweet with #data and #tech.
38,This is a tweet with #cloud and #data.
39,
40,This is a tweet with #AI and #innovation.
41,This is a tweet with #data and #AI.
42,This is a tweet with #AI and #innovation.
43,This is a tweet with #tech and #cloud.
44,This is a tweet with #AI and #AI.
45,This is a tweet with #cloud and #AI.
46,This is a tweet with #data and #data.
47,This is a tweet with #cloud and #innovation.
48,This is a tweet with #data and #tech.
49,This is a tweet with #AI and #tech.
50,This is a tweet with #data and #cloud.
